title,date,abstract,DOI,source_url,authors,keywords,year,topic_ids,topic_names
Supporting Readability by Comprehending the Hierarchical Abstraction of a Software Project,24 February 2022,"Exploring the source code of a software system is a prevailing task that is frequently done by contributors to a system. Practitioners often use call graphs to aid in understanding the source code of an inadequately documented software system. Call graphs, when visualized, show caller and callee relationships between functions. A static call graph provides an overall structure of a software system and dynamic call graphs generated from dynamic execution logs can be used to trace program behaviour for a particular scenario. Unfortunately a call graph of an entire system can be very complicated and hard to understand. Hierarchically abstracting a call graph can be used to summarize an entire system’s structure and more easily comprehending function calls. In this work, we mine concepts from source code entities (functions) to generate a concept cluster tree with improved naming of cluster nodes to complement existing studies and facilitate more effective program comprehension for developers. We apply three different information retrieval techniques (TFIDF, LDA, and LSI) on function names and function name variants to label the nodes of a concept cluster tree generated by clustering execution paths. From our experiment in comparing automatic labelling with manual labeling by participants for 12 use cases, we found that among the techniques on average, TFIDF performs better with 64% matching. LDA and LSI had 37% and 23% matching respectively. In addition, using the words in function name variants performed at least 5% better in participant ratings for all three techniques on average for the use cases.",10.1145/3511430.3511441,https://dl.acm.org/doi/10.1145/3511430.3511441,"['Avijit Bhattacharjee', 'Banani Roy', 'Kevin Schneider']","['humancentered computing', 'information retrieval', 'information systems', 'management of computing and information systems', 'professional topics', 'social and professional topics', 'software and its engineering', 'software creation and management', 'software maintenance', 'software management', 'software notations and tools', 'software postdevelopment issues']",2022,"[-1, 1, 2]","['Ruído', 'Cenários de Uso', 'Fluxo de Controle & Grafos']"
Test2Feature: feature-based test traceability tool for highly configurable software,12 September 2022,"To ensure the quality of Highly Configurable Software (HCS) in an evolution and maintenance scenario is a challenging task. As HCSs evolve, new features are added, changed, or removed, which hampers the selection and evolution of test cases. The use of test traceability reports can help in this task, but there is a lack of studies addressing HCS test-to-feature traceability. Existing work usually are based on the variability model, which is not always available or updated. Some tools only link test cases to code lines. Considering this gap, this paper introduces Test2Feature, a tool that traces test cases to features using the source code of annotated HCSs, written in C/C++. The tool produces the following outputs: the code lines that correspond to each feature, the lines that correspond to each test case, and the test cases that are linked to each feature. Test2Feature is based only on the static analysis of the code. The traceability report produced can be used to ease different tasks related, for instance, to regression testing, feature management, and HCS evolution and maintenance.",10.1145/3503229.3547031,https://dl.acm.org/doi/10.1145/3503229.3547031,"['Willian D. F. Mendonça', 'Silvia R. Vergilio', 'Gabriela K. Michelon', 'Alexander Egyed', 'Wesley K. G. Assunção']","['process validation', 'reusability', 'software and its engineering', 'software creation and management', 'software defect analysis', 'software development techniques', 'software maintenance tools', 'software notations and tools', 'software product lines', 'software testing and debugging', 'software verification and validation', 'traceability']",2022,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Executable Multi-Layered Software Models,25 July 2024,"This paper introduces a novel software visualisation and animation method, manifested in a prototype software tool - AnimArch. The introduced method is based on model fusion of static and dynamic models. The static model is represented by class diagram while the dynamic model is represented by source code written in high-level Object Action Language from xUML (executable UML). The class diagram defines architecture that is animated in response to real-time execution of the source code. Moreover, additional object diagram layer represents all object instances present in runtime. The AnimArch also features source code generation to Python, to bridge the gap from design to implementation. This paper provides detailed description of the modelling method and screenshots of the accompanying software tool.",10.1145/3643660.3643938,https://dl.acm.org/doi/10.1145/3643660.3643938,"['Lukas Radosky', 'Ivan Polasek']","['designing software', 'development frameworks and environments', 'object oriented frameworks', 'software and its engineering', 'software creation and management', 'software design engineering', 'software notations and tools', 'system description languages', 'unified modeling language uml']",2024,[1],['Cenários de Uso']
Re-Engineering Microservices into Web-Based Software Product Lines,01 September 2025,,10.1145/3748269.3748490,https://dl.acm.org/doi/10.1145/3748269.3748490,"['Rifqi Farel Muhammad', 'Bonaventura Galang Kristabel Angipanglipur Hatmasasmita', 'Syifa Afra Kamila Mumtaz', 'Maya Retno Ayu Setyautami', 'Ade Azurat']","['reusability', 'software and its engineering', 'software creation and management', 'software development techniques', 'software notations and tools', 'software product lines', 'system description languages', 'unified modeling language uml']",2025,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Enhancing Model-Driven Reverse Engineering Using Machine Learning,23 May 2024,"Organizations often rely on large applications that are classified as legacy systems due to their dependence on outdated programming languages or platforms. To modernize these systems, it is necessary to understand their architecture, functionality, and business rules. Our research aims to define a novel model-driven reverse engineering (MDRE) approach to extract Unified Modeling Language (UML) and Object Constraint Language (OCL) representations from source code using Large Language Models (LLMs).",10.1145/3639478.3639797,https://dl.acm.org/doi/10.1145/3639478.3639797,['Hanan Abdulwahab Siala'],[],2024,['Other'],['Cluster Other']
An Empirical Study of Code Simplification Methods in Code Intelligence Tasks,27 February 2025,"In recent years, pre-trained language models have seen significant success in natural language processing and have been increasingly applied to code-related tasks. Code intelligence tasks have shown promising performance with the support of code pre-trained language models. Pre-processing code simplification methods have been introduced to prune code tokens from the model’s input while maintaining task effectiveness. These methods improve the efficiency of code intelligence tasks while reducing computational costs. Post-prediction code simplification methods provide explanations for code intelligence task outcomes, enhancing the reliability and interpretability of model predictions. However, comprehensive evaluations of these methods across diverse code pre-trained model architectures and code intelligence tasks are lacking. To assess the effectiveness of code simplification methods, we conduct an empirical study integrating these code simplification methods with various pre-trained code models across multiple code intelligence tasks.",10.1145/3720540,https://dl.acm.org/doi/10.1145/3720540,"['Zongwen Shen', 'Yuning Li', 'Jidong Ge', 'Xiang Chen', 'Chuanyi Li', 'Liguo Huang', 'Bin Luo']","['applied computing', 'artificial intelligence', 'arts and humanities', 'computing methodologies', 'humancentered computing', 'information extraction', 'language translation', 'lexical semantics', 'machine learning', 'natural language generation', 'natural language processing', 'software and its engineering', 'visualization', 'visualization techniques']",2025,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Automated Framework to Extract Software Requirements from Source Code,05 March 2024,"Software maintenance and innovation are constant challenges across industries, especially as programming languages evolve with technology. Similarly, poor lexicon quality degrades program comprehension, increasing the effort required by developers to improve existing software products. To address these challenges, we propose a novel automated framework that extracts software requirements directly from source code using a baseline AI language model applied to a Java code base. Leveraging natural language processing techniques, the framework validates programs and generates easily readable requirements by analyzing file contents. The framework enhances agility and flexibility by providing comprehensive documentation for existing software systems. It caters to both experienced and less-experienced developers, offering an intuitive graphical user interface and enabling efficient identification and resolution of errors. The resulting output facilitates natural interaction through language processing. By automating the extraction process, the framework allows developers to better understand software systems, make informed decisions, and adapt to evolving needs.",10.1145/3639233.3639242,https://dl.acm.org/doi/10.1145/3639233.3639242,"['Cameron Miskell', 'Richard Diaz', 'Parth Ganeriwala', 'Khaled Slhoub', 'Fitzroy Nembhard']","['artificial intelligence', 'computing methodologies', 'information extraction', 'natural language processing', 'software and its engineering', 'software creation and management', 'software evolution', 'software maintenance tools', 'software notations and tools', 'software postdevelopment issues', 'software version control']",2024,[1],['Cenários de Uso']
A Survey on Renamings of Software Entities,17 April 2020,"More than 70% of characters in the source code are used to label identifiers. Consequently, identifiers are one of the most important source for program comprehension. Meaningful identifiers are crucial to understand and maintain programs. However, for reasons like constrained schedule, inexperience, and unplanned evolution, identifiers may fail to convey the semantics of the entities associated with them. As a result, such entities should be renamed to improve software quality. However, manual renaming and recommendation are fastidious, time consuming, and error prone, whereas automating the process of renamings is challenging: (1) It involves complex natural language processing to understand the meaning of identifers; (2) It also involves difficult semantic analysis to determine the role of software entities. Researchers proposed a number of approaches and tools to facilitate renamings. We present a survey on existing approaches and classify them into identification of renaming opportunities, execution of renamings, and detection of renamings. We find that there is an imbalance between the three type of approaches, and most of implementation of approaches and evaluation dataset are not publicly available. We also discuss the challenges and present potential research directions. To the best of our knowledge, this survey is the first comprehensive study on renamings of software entities.",10.1145/3379443,https://dl.acm.org/doi/10.1145/3379443,"['Guangjie Li', 'Hui Liu', 'Ally S. Nyamawe']","['software and its engineering', 'software creation and management', 'software postdevelopment issues', 'software reverse engineering']",2020,[1],['Cenários de Uso']
Automating just-in-time comment updating,27 January 2021,"Code comments are valuable for program comprehension and software maintenance, and also require maintenance with code evolution. However, when changing code, developers sometimes neglect updating the related comments, bringing in inconsistent or obsolete comments (aka., bad comments). Such comments are detrimental since they may mislead developers and lead to future bugs. Therefore, it is necessary to fix and avoid bad comments. In this work, we argue that bad comments can be reduced and even avoided by automatically performing comment updates with code changes. We refer to this task as ""Just-In-Time (JIT) Comment Updating"" and propose an approach named CUP (<u>C</u>omment <u>UP</u>dater) to automate this task. CUP can be used to assist developers in updating comments during code changes and can consequently help avoid the introduction of bad comments. Specifically, CUP leverages a novel neural sequence-to-sequence model to learn comment update patterns from extant code-comment co-changes and can automatically generate a new comment based on its corresponding old comment and code change. Several customized enhancements, such as a special tokenizer and a novel co-attention mechanism, are introduced in CUP by us to handle the characteristics of this task. We build a dataset with over 108K comment-code co-change samples and evaluate CUP on it. The evaluation results show that CUP outperforms an information-retrieval-based and a rule-based baselines by substantial margins, and can reduce developers' edits required for JIT comment updating. In addition, the comments generated by our approach are identical to those updated by developers in 1612 (16.7%) test samples, 7 times more than the best-performing baseline.",10.1145/3324884.3416581,https://dl.acm.org/doi/10.1145/3324884.3416581,"['Zhongxin Liu', 'Xin Xia', 'Meng Yan', 'Shanping Li']","['maintaining software', 'software and its engineering', 'software creation and management', 'software evolution', 'software maintenance tools', 'software notations and tools', 'software postdevelopment issues']",2021,[1],['Cenários de Uso']
VarSem: declarative expression and automated inference of variable usage semantics,16 November 2020,"Programmers declare variables to serve specific implementation purposes that we refer to as variable usage semantics (VUS). Understanding VUS is required for various software engineering tasks, including program comprehension, code audits, and vulnerability detection. To help programmers understand VUS, we present a new program analysis that infers a variable's usage semantics from its textual and context information (e.g., symbolic name, type, scope, information flow). To support this analysis, we introduce VarSem, a domain-specific language, in which a variable's semantic category is expressed as a set of declarative rules. VarSem's execution determines which program variables belong to a given semantic category. VarSem translates high-level declarative rules into low-level program analysis techniques, including natural language processing and data flow, and provides a highly extensible architecture for specifying new rules and analysis techniques. We evaluate VarSem with eight real-world systems to identify their personally identifiable information variables. The evaluation results show that VarSem infers variable semantics with satisfying accuracy/precision and passable recall, thus potentially benefiting both software and security engineers.",10.1145/3425898.3426962,https://dl.acm.org/doi/10.1145/3425898.3426962,"['Yin Liu', 'Eli Tilevich']","['context specific languages', 'domain specific languages', 'operating systems security', 'security and privacy', 'software and its engineering', 'software notations and tools', 'systems security', 'trusted computing']",2020,[1],['Cenários de Uso']
